fit_id,fit_name,tag_size,waist,front_rise,back_rise,upper_thigh,knee,leg_opening,inseam,source_url,notes
tight_terry,Tight Terry,27,29,8.4,14.1,10.4,6.1,5.6,34,https://www.nudiejeans.com/en-CA/product/tight-terry-everblack,
tight_terry,Tight Terry,28,30,8.6,14.3,10.6,6.3,5.7,34,https://www.nudiejeans.com/en-CA/product/tight-terry-everblack,
tight_terry,Tight Terry,29,31,8.7,14.4,10.9,6.5,5.8,34,https://www.nudiejeans.com/en-CA/product/tight-terry-everblack,
tight_terry,Tight Terry,30,31.8,8.9,14.6,11.2,6.7,5.9,34,https://www.nudiejeans.com/en-CA/product/tight-terry-everblack,
tight_terry,Tight Terry,31,33,9.1,14.7,11.5,6.9,6.1,34,https://www.nudiejeans.com/en-CA/product/tight-terry-everblack,
tight_terry,Tight Terry,32,33.8,9.2,14.9,11.8,7.1,6.2,34,https://www.nudiejeans.com/en-CA/product/tight-terry-everblack,
tight_terry,Tight Terry,33,34.8,9.4,15,12.1,7.3,6.3,34,https://www.nudiejeans.com/en-CA/product/tight-terry-everblack,
tight_terry,Tight Terry,34,35.8,9.5,15.2,12.4,7.5,6.4,34,https://www.nudiejeans.com/en-CA/product/tight-terry-everblack,
tight_terry,Tight Terry,36,37.8,9.8,15.5,13,7.9,6.7,34,https://www.nudiejeans.com/en-CA/product/tight-terry-everblack,
tight_terry,Tight Terry,38,39.8,10.2,15.8,13.6,8.3,6.9,34,https://www.nudiejeans.com/en-CA/product/tight-terry-everblack,
grim_tim,Grim Tim,27,28.8,9.5,14.6,10.6,6.8,6.4,34,https://www.nudiejeans.com/en-CA/product/grim-tim-new-ink,
grim_tim,Grim Tim,28,29.9,9.7,14.8,10.9,7,6.5,34,https://www.nudiejeans.com/en-CA/product/grim-tim-new-ink,
grim_tim,Grim Tim,29,30.8,9.8,14.9,11.1,7.2,6.7,34,https://www.nudiejeans.com/en-CA/product/grim-tim-new-ink,
grim_tim,Grim Tim,30,31.8,10,15.1,11.5,7.4,6.9,34,https://www.nudiejeans.com/en-CA/product/grim-tim-new-ink,
grim_tim,Grim Tim,31,32.6,10.2,15.2,11.7,7.6,7,34,https://www.nudiejeans.com/en-CA/product/grim-tim-new-ink,
