"product_id","sku","product_name","fit_id","fabric_id","wash_state","gender","default_inseam_label","colorway","status","regular_price","sales_price","nf_product_url","description_html","release_season","run_code","notes","denim_weight_oz","denim_cat","material","made_in","product_description","collections","is_jeans","scraped_at"
"easy_guy_army_green_duck_selvedge_raw","101038506","Easy Guy - Army Green Duck Selvedge","easy_guy","army_green_duck_selvedge","raw","mens","","green","regular","242.00","","https://nakedandfamousdenim.com/products/naked-famous-denim-easy-guy-army-green-duck-selvedge","<div class=""ndf-description"">
<p>The Army Green Duck Selvedge is a 10oz Japanese selvedge canvas. The duck canvas is woven on vintage shuttle looms in a plain weave construction with a red line selvedge ID. The fabric has a tight weave creating a smooth durable surface resistant to snags and tears, which has made cotton duck the popular choice in workwear from the late 1800s to today. Cut, sewn, built in Canada with tonal stitching, a dark brown full grain leather patch, and dark copper buttons and rivets.</p>
<p><meta charset=""utf-8""/>The Easy Guy is a relaxed tapered fit; regular rise, fuller in the seat and thigh with a sharp taper from knee to hem.</p>
<ul class=""labelcard labelcard--bold""><li class=""lc-head""><div class=""lc-title"">Army Green Duck Selvedge</div></li><li class=""lc-row""><span class=""lc-line""><span class=""lc-k"">STYLE / FIT</span> — <span class=""lc-v"">Easy Guy</span></span></li>
<li class=""lc-row""><span class=""lc-line"">10oz Japanese Duck Canvas</span></li>
<li class=""lc-row""><span class=""lc-line"">100% Cotton</span></li>
<li class=""lc-row""><span class=""lc-line"">Made in Canada</span></li>
<li class=""lc-row""><span class=""lc-line""><span class=""lc-k"">SKU</span> — <span class=""lc-v"">101038506</span></span></li>
</ul>
</div>","","","","10","10oz Japanese Duck Canvas","100% Cotton","Made in Canada","The Army Green Duck Selvedge is a 10oz Japanese selvedge canvas. The duck canvas is woven on vintage shuttle looms in a plain weave construction with a red line selvedge ID. The fabric has a tight weave creating a smooth durable surface resistant to snags and tears, which has made cotton duck the popular choice in workwear from the late 1800s to today. Cut, sewn, built in Canada with tonal stitching, a dark brown full grain leather patch, and dark copper buttons and rivets.The Easy Guy is a relaxed tapered fit; regular rise, fuller in the seat and thigh with a sharp taper from knee to hem.","All Mens; Latest Arrivals; Core Essentials","yes","2026-03-01T21:57:03.207256"
"all_natural_ecru_foxfibre®_selvedge_raw","160128049","Zip Jacket - All Natural Ecru Foxfibre® Selvedge","","all_natural_ecru_foxfibre®_selvedge","","mens","","","regular","522.00","","https://nakedandfamousdenim.com/products/zip-chore-coat-all-natural-ecru-foxfiber","<div class=""ndf-description"">
<p><span>Introducing the All Natural Ecru Foxfibre® Selvedge, a 13.6oz Japanese Selvedge denim that marries an unbleached organic cotton exterior warp with a rare, naturally colored organic cotton known as Foxfibre®. Developed by Sally Fox, Foxfibre® cotton is grown in rich, natural earth tones that eliminate the need for bleaching or dyeing. As we say, 'If you can grow the color, there's no need to dye it."" This cotton is sourced exclusively from a single farm in Texas dedicated to sustainable organic farming practices. With each wash and wear, Foxfibre® cotton develops a deeper patina, intensifying to a richer, warmer tone. This unique color evolution is visible through the front face of the fabric along the twill lines, imparting a distinctive earthy tone to the jeans. The blend of Foxfibre® brown cotton weft with the natural cotton warp gives the denim a warm, natural tone, enriched with brown neps that add depth and richness to the fabric. The denim is finished with a brown selvedge ID, also made using Foxfibre® cotton. The jeans feature a  vegan friendly paper based patch. Proudly crafted in our Canadian factory, the jacket features contrast stitching and silver metallic hardware. </span></p>
<p>The Zip Jacket is a classic fit jacket with a front zip closure, and side welt pockets. Triple stitched seams for extra durability.</p>
<ul class=""labelcard labelcard--bold""><li class=""lc-head""><div class=""lc-title"">All Natural Ecru Foxfibre® Selvedge</div></li><li class=""lc-row""><span class=""lc-line""><span class=""lc-k"">STYLE / FIT</span> — <span class=""lc-v"">Zip Jacket</span></span></li>
<li class=""lc-row""><span class=""lc-line"">13.6oz Japanese Selvedge Denim</span></li>
<li class=""lc-row""><span class=""lc-line"">100% Cotton</span></li>
<li class=""lc-row""><span class=""lc-line"">Made in Canada</span></li>
<li class=""lc-row""><span class=""lc-line""><span class=""lc-k"">SKU</span> — <span class=""lc-v"">160128049</span></span></li>
</ul>
<p style=""margin: 0in; font-family: Calibri; font-size: 11.0pt;""> </p>
</div>","","","exclusive","13.6","13.6oz Japanese Selvedge Denim","100% Cotton","Made in Canada","Introducing the All Natural Ecru Foxfibre® Selvedge, a 13.6oz Japanese Selvedge denim that marries an unbleached organic cotton exterior warp with a rare, naturally colored organic cotton known as Foxfibre®. Developed by Sally Fox, Foxfibre® cotton is grown in rich, natural earth tones that eliminate the need for bleaching or dyeing. As we say, 'If you can grow the color, there's no need to dye it."" This cotton is sourced exclusively from a single farm in Texas dedicated to sustainable organic farming practices. With each wash and wear, Foxfibre® cotton develops a deeper patina, intensifying to a richer, warmer tone. This unique color evolution is visible through the front face of the fabric along the twill lines, imparting a distinctive earthy tone to the jeans. The blend of Foxfibre® brown cotton weft with the natural cotton warp gives the denim a warm, natural tone, enriched with brown neps that add depth and richness to the fabric. The denim is finished with a brown selvedge ID, also made using Foxfibre® cotton. The jeans feature a  vegan friendly paper based patch. Proudly crafted in our Canadian factory, the jacket features contrast stitching and silver metallic hardware.The Zip Jacket is a classic fit jacket with a front zip closure, and side welt pockets. Triple stitched seams for extra durability.","Latest Arrivals","no","2026-03-01T22:07:17.010977"
"easy_guy_tabi_selvedge_off_white_raw","101136906","Easy Guy - Tabi Selvedge - Off White","easy_guy","tabi_selvedge_off_white","raw","mens","","white","regular","418.00","","https://nakedandfamousdenim.com/products/easy-guy-tabi-selvedge-off-white-1","<div class=""ndf-description"">
<div data-olk-copy-source=""MessageBody"">The Tabi Selvedge is an 11.5oz Japanese selvedge denim woven from a blend of 75% cotton and 25% linen. The addition of linen introduces visible texture, with natural slub and seed flecks creating a tactile surface that cannot be achieved with cotton alone.</div>
<div><br/></div>
<div>The fabric takes its name from traditional Japanese tabi textiles, historically produced from short-staple cotton grown in the Kojima region. These early fabrics were known for their rough, uneven texture, qualities intentionally echoed in this modern interpretation.</div>
<div><br/></div>
<div>An off-white ecru base is accented by a pale pink selvedge edge in production, adding subtle contrast. A natural vegetable-tanned leather patch completes the fabric, allowing both denim and leather to age gracefully together.</div>
<div><br/></div>
<div>The Easy Guy is a relaxed tapered fit; regular rise, fuller in the seat and thigh with a sharp taper from knee to hem.</div>
<ul class=""labelcard labelcard--bold""><li class=""lc-head""><div class=""lc-title"">Tabi Selvedge - Off White</div></li><li class=""lc-row""><span class=""lc-line""><span class=""lc-k"">STYLE / FIT</span> — <span class=""lc-v"">Easy Guy</span></span></li>
<li class=""lc-row""><span class=""lc-line"">11.5oz Japanese Selvedge Denim</span></li>
<li class=""lc-row""><span class=""lc-line"">75% Cotton / 25% Linen</span></li>
<li class=""lc-row""><span class=""lc-line"">Indigo</span></li>
<li class=""lc-row""><span class=""lc-line"">Pale pink selvedge edge</span></li>
<li class=""lc-row""><span class=""lc-line"">Natural vegetable-tanned leather patch</span></li>
<li class=""lc-row""><span class=""lc-line"">Made in Canada</span></li>
</ul>
</div>","","","","11.5","11.5oz Japanese Selvedge Denim","75% Cotton / 25% Linen","Made in Canada","The Tabi Selvedge is an 11.5oz Japanese selvedge denim woven from a blend of 75% cotton and 25% linen. The addition of linen introduces visible texture, with natural slub and seed flecks creating a tactile surface that cannot be achieved with cotton alone.The fabric takes its name from traditional Japanese tabi textiles, historically produced from short-staple cotton grown in the Kojima region. These early fabrics were known for their rough, uneven texture, qualities intentionally echoed in this modern interpretation.An off-white ecru base is accented by a pale pink selvedge edge in production, adding subtle contrast. A natural vegetable-tanned leather patch completes the fabric, allowing both denim and leather to age gracefully together.The Easy Guy is a relaxed tapered fit; regular rise, fuller in the seat and thigh with a sharp taper from knee to hem.","Coming Soon; Spring/Summer 26","yes","2026-03-01T22:17:32.464619"
"white_+_organic_hickory_green_raw","W03138820","Pocket Tee - White + Organic Hickory - Green","","white_+_organic_hickory_green","","mens","","white/green","regular","52.00","","https://nakedandfamousdenim.com/products/pocket-tee-white-organic-hickory-green","<div class=""ndf-description"">
<div class=""panel"">
<div data-css-1hx5u36="""">
<div>The Contrast Pocket Tee is made from a 205 GSM cotton jersey paired with a contrasting chest pocket. </div>
<div><br/></div>
<div>The pocket is cut from Japanese shirting fabrics. The Contrast Pocket Tee is a standard fit t-shirt with with no side seams, chest pocket, a crewneck and short sleeves.</div>
</div>
</div>
<ul class=""labelcard labelcard--bold""><li class=""lc-head""><div class=""lc-title"">White + Organic Hickory - Green</div></li><li class=""lc-row""><span class=""lc-line""><span class=""lc-k"">STYLE / FIT</span> — <span class=""lc-v"">Pocket Tee</span></span></li>
<li class=""lc-row""><span class=""lc-line"">Canadian Jersey (body) / Japanese Fabric (pocket)</span></li>
<li class=""lc-row""><span class=""lc-line"">100% Cotton (body)</span></li>
<li class=""lc-row""><span class=""lc-line"">Made in Canada</span></li>
</ul>
</div>","","","","","","100% Cotton (body)","Made in Canada","The Contrast Pocket Tee is made from a 205 GSM cotton jersey paired with a contrasting chest pocket.The pocket is cut from Japanese shirting fabrics. The Contrast Pocket Tee is a standard fit t-shirt with with no side seams, chest pocket, a crewneck and short sleeves.","Latest Arrivals; Spring/Summer 26","no","2026-03-01T22:27:46.351860"
"easy_guy_10_fold_selvedge_raw","101110006","Easy Guy - 10 Fold Selvedge","easy_guy","10_fold_selvedge","raw","mens","","","on-sales","251.00","200.80","https://nakedandfamousdenim.com/products/easy-guy-10-fold-selvedge","<div class=""ndf-description"">
<p>The 10 Fold Selvedge is a 14oz Japanese selvedge denim crafted from a unique blend of 10 varieties of cotton, sourced from 10 different countries, and featuring a distinctive 10-color selvedge ID. Originally produced for the 10th anniversary of Naked &amp; Famous Denim, we had some unused rolls from the initial production that we saved for the perfect moment to re-release this fabric. This denim has a classic rigid raw feel, made with short slub yarns that add a subtle touch of character while preserving a traditional raw denim experience. Flip the cuff to reveal the multicolor selvedge ID. The jeans boast classic finishing details, including contrast stitching, a button fly, silver metallic hardware, and a natural veg-tan leather patch. Each pair is proudly crafted in our Canadian factory.</p>
<p class=""MsoNormal""><meta charset=""utf-8""/>The Easy Guy is a relaxed tapered fit; regular rise, fuller in the seat and thigh with a sharp taper from knee to hem.</p>
<ul class=""labelcard labelcard--bold"" type=""disc""><li class=""lc-head""><div class=""lc-title"">10 Fold Selvedge</div></li><li class=""lc-row""><span class=""lc-line""><span class=""lc-k"">STYLE / FIT</span> — <span class=""lc-v"">Easy Guy</span></span></li>
<li class=""lc-row""><span class=""lc-line"">14oz Japanese Selvedge Denim</span></li>
<li class=""lc-row""><span class=""lc-line"">100% Cotton</span></li>
<li class=""lc-row""><span class=""lc-line"">Made in Canada</span></li>
<li class=""lc-row""><span class=""lc-line""><span class=""lc-k"">SKU</span> — <span class=""lc-v"">101110006</span></span></li>
</ul>
<!-- -->
</div>","","","","14","14oz Japanese Selvedge Denim","100% Cotton","Made in Canada","The 10 Fold Selvedge is a 14oz Japanese selvedge denim crafted from a unique blend of 10 varieties of cotton, sourced from 10 different countries, and featuring a distinctive 10-color selvedge ID. Originally produced for the 10th anniversary of Naked & Famous Denim, we had some unused rolls from the initial production that we saved for the perfect moment to re-release this fabric. This denim has a classic rigid raw feel, made with short slub yarns that add a subtle touch of character while preserving a traditional raw denim experience. Flip the cuff to reveal the multicolor selvedge ID. The jeans boast classic finishing details, including contrast stitching, a button fly, silver metallic hardware, and a natural veg-tan leather patch. Each pair is proudly crafted in our Canadian factory.The Easy Guy is a relaxed tapered fit; regular rise, fuller in the seat and thigh with a sharp taper from knee to hem.","All Mens","yes","2026-03-01T22:37:59.898238"
"true_guy_hemp_blend_selvedge_indigo_raw","101137021","True Guy -  Hemp Blend  Selvedge - Indigo","true_guy","hemp_blend_selvedge_indigo","raw","mens","","indigo","regular","239.00","","https://nakedandfamousdenim.com/products/true-guy-hemp-blend-selvedge-indigo-1","<div class=""ndf-description"">
<div data-olk-copy-source=""MessageBody"">The Hemp Blend Selvedge is an 11oz Japanese selvedge denim combining cotton with natural hemp fibers. Hemp’s longer staple length contributes increased durability, while its inherent texture introduces a subtle surface hairiness and warm visual character.</div>
<div><br/></div>
<div>Lightweight yet resilient, the fabric offers breathability, strength, and comfort, making it well suited for extended wear. A white-green-white selvedge edge provides a quiet visual nod to the hemp content, complemented by earthy stitching tones.</div>
<div><br/></div>
<div>Despite its lighter weight, the fabric remains tough and long-lasting, designed to evolve with wear while maintaining structure.</div>
<div><br/></div>
<div>The True Guy is a straight leg fit with a regular rise along with extra room in the seat and thigh that falls straight from knee to hem.</div>
<ul class=""labelcard labelcard--bold""><li class=""lc-head""><div class=""lc-title"">Hemp Blend  Selvedge - Indigo</div></li><li class=""lc-row""><span class=""lc-line""><span class=""lc-k"">STYLE / FIT</span> — <span class=""lc-v"">True Guy</span></span></li>
<li class=""lc-row""><span class=""lc-line"">11oz Japanese Selvedge Denim</span></li>
<li class=""lc-row""><span class=""lc-line"">77% Cotton / 23% Hemp</span></li>
<li class=""lc-row""><span class=""lc-line"">Indigo</span></li>
<li class=""lc-row""><span class=""lc-line"">White-green-white selvedge edge</span></li>
<li class=""lc-row""><span class=""lc-line"">Antique copper Hardware</span></li>
<li class=""lc-row""><span class=""lc-line"">Hidden Coin Pocket</span></li>
<li class=""lc-row""><span class=""lc-line"">Leather patch</span></li>
<li class=""lc-row""><span class=""lc-line"">Made in Canada</span></li>
</ul>
</div>","","","","11","11oz Japanese Selvedge Denim","77% Cotton / 23% Hemp","Made in Canada","The Hemp Blend Selvedge is an 11oz Japanese selvedge denim combining cotton with natural hemp fibers. Hemp’s longer staple length contributes increased durability, while its inherent texture introduces a subtle surface hairiness and warm visual character.Lightweight yet resilient, the fabric offers breathability, strength, and comfort, making it well suited for extended wear. A white-green-white selvedge edge provides a quiet visual nod to the hemp content, complemented by earthy stitching tones.Despite its lighter weight, the fabric remains tough and long-lasting, designed to evolve with wear while maintaining structure.The True Guy is a straight leg fit with a regular rise along with extra room in the seat and thigh that falls straight from knee to hem.","All Mens; Latest Arrivals; Spring/Summer 26","yes","2026-03-01T22:48:14.211881"
"10oz_rinsed_denim_indigo_rinsed","102126996","Pleated Trouser - 10oz Rinsed Denim - Indigo","","10oz_rinsed_denim_indigo","","mens","","indigo","regular","218.00","","https://nakedandfamousdenim.com/products/pleated-trouser-10oz-rinsed-denim-indigo","<div class=""ndf-description"">
<p>The 10oz Rinsed Denim is a lightweight Japanese denim, pre-rinsed for a softer feel and easier break-in. Clean and minimal, it’s ideal for everyday wear. Finishing details include tonal stitching, a navy leather patch, and antique copper hardware.</p>
<p>The Pleated Trouser is a mid-rise relaxed fit with four-pocket styling, zip fly, twin pleats and a straight but tiny-bit tapered leg.</p>
<ul class=""labelcard labelcard--bold""><li class=""lc-head""><div class=""lc-title"">10oz Rinsed Denim - Indigo</div></li><li class=""lc-row""><span class=""lc-line""><span class=""lc-k"">STYLE / FIT</span> — <span class=""lc-v"">Pleated Trouser</span></span></li>
<li class=""lc-row""><span class=""lc-line"">10oz Japanese Denim</span></li>
<li class=""lc-row""><span class=""lc-line"">100% Cotton</span></li>
<li class=""lc-row""><span class=""lc-line"">Made in Canada</span></li>
<li class=""lc-row""><span class=""lc-line""><span class=""lc-k"">SKU</span> — <span class=""lc-v"">102126996</span></span></li>
</ul>
</div>","","","","10","10oz Japanese Denim","100% Cotton","Made in Canada","The 10oz Rinsed Denim is a lightweight Japanese denim, pre-rinsed for a softer feel and easier break-in. Clean and minimal, it’s ideal for everyday wear. Finishing details include tonal stitching, a navy leather patch, and antique copper hardware.The Pleated Trouser is a mid-rise relaxed fit with four-pocket styling, zip fly, twin pleats and a straight but tiny-bit tapered leg.","Latest Arrivals; Fall/Winter 2025","no","2026-03-01T22:58:28.110709"
"elephant_14_dirty_elephant_selvedge_raw","164132964","Denim Jacket - Elephant 14 - Dirty Elephant Selvedge","","elephant_14_dirty_elephant_selvedge","","mens","","","regular","498.00","","https://nakedandfamousdenim.com/products/denim-jacket-elephant-14-dirty-elephant","<div class=""ndf-description"">
<p>The Elephant 14 ..aka Dirty Elephant is a 20oz super heavyweight Japanese selvedge denim that combines the bold, rugged weight of our iconic Elephant series with the distinct character of one of our most beloved core fabrics - Dirty Fade Selvedge. The warp yarns are rope-dyed in indigo, but start as naturally dusty brown cotton. As the denim fades with wear, layers of indigo chip away to reveal the earthy brown undertone beneath, giving this fabric its signature “dirty” fade. Finishing details include contrast stitching, a 5oz vegetable-tanned leather patch, a custom red/white/red selvedge ID, and silver metallic buttons and rivets.</p>
<p>The Denim Jacket a classic denim jacket cut to fit comfortably in the chest and arms with slash front pockets, inner pocket bags, and chest flap pockets.</p>
<ul class=""labelcard labelcard--bold""><li class=""lc-head""><div class=""lc-title"">Elephant 14 - Dirty Elephant Selvedge</div></li><li class=""lc-row""><span class=""lc-line""><span class=""lc-k"">STYLE / FIT</span> — <span class=""lc-v"">Denim Jacket</span></span></li>
<li class=""lc-row""><span class=""lc-line"">20oz Japanese Selvedge Denim</span></li>
<li class=""lc-row""><span class=""lc-line"">100% Cotton</span></li>
<li class=""lc-row""><span class=""lc-line"">Button Fly</span></li>
<li class=""lc-row""><span class=""lc-line"">Made in Canada</span></li>
<li class=""lc-row""><span class=""lc-line""><span class=""lc-k"">SKU</span> — <span class=""lc-v"">164132964</span></span></li>
</ul>
</div>","","","","20","20oz Japanese Selvedge Denim","100% Cotton","Made in Canada","The Elephant 14 ..aka Dirty Elephant is a 20oz super heavyweight Japanese selvedge denim that combines the bold, rugged weight of our iconic Elephant series with the distinct character of one of our most beloved core fabrics - Dirty Fade Selvedge. The warp yarns are rope-dyed in indigo, but start as naturally dusty brown cotton. As the denim fades with wear, layers of indigo chip away to reveal the earthy brown undertone beneath, giving this fabric its signature “dirty” fade. Finishing details include contrast stitching, a 5oz vegetable-tanned leather patch, a custom red/white/red selvedge ID, and silver metallic buttons and rivets.The Denim Jacket a classic denim jacket cut to fit comfortably in the chest and arms with slash front pockets, inner pocket bags, and chest flap pockets.","Fall/Winter 2025","no","2026-03-01T23:08:41.237071"
"weird_guy_mij15_hand_dyed_natural_indigo_kakishibu_intangible_cultural_treasure_selvedge_denim_raw","101133903","Weird Guy - MIJ15 - Hand Dyed Natural Indigo Kakishibu Intangible Cultural Treasure Selvedge Denim","weird_guy","mij15_hand_dyed_natural_indigo_kakishibu_intangible_cultural_treasure_selvedge_denim","raw","mens","","indigo/tan","regular","1","","https://nakedandfamousdenim.com/products/weird-guy-mij15-hand-dyed-natural-indigo-x-kakishibu-intangible-cultural-treasure-selvedge-denim","<div class=""ndf-description"">
<p><span data-olk-copy-source=""MessageBody"">This limited-edition release is part of our Made in Japan series, where we take the most traditional techniques, use the best materials we can get our hands on, and build everything with old-school construction. The MIJ15 is a 15oz selvedge denim, and the yarns are dyed using two ancient natural dyes—indigo and kakishibu.</span></p>
<p><span>The warp is dyed in Tokushima, on Shikoku Island, using a process that’s been around for hundreds of years. It’s such an important part of Japanese culture that it’s officially recognized as an Intangible Cultural Treasure. The yarns are bundled into hanks, dipped into natural indigo dye vats that are literally buried in the ground, then pulled out and oxidized in the open air. But because the yarn is bundled, some parts are exposed more than others. So what you get is uneven oxidation across the yarn—some parts darker, some lighter—and that creates a really rich, varied range of indigo shades across the fabric. This only happens with natural dye, and only when it’s done by hand. </span><span>The weft is dyed with kakishibu, which is made from fermented persimmon. This dye’s been used in Japan for over a thousand years, and it gives the yarn a kind of burnt orange or brown tone that comes through the surface of the denim. The mix of that color underneath the indigo, plus the texture from the slubby yarns, gives this fabric so much dimension. It almost looks like it’s glowing in certain lighting.</span></p>
<p><span>The patch is real Shell Cordovan—dense horsehide that ages beautifully. And all the MIJ details are here: 100% iron buttons, copper rivets, raised belt loops, hidden back pocket rivets, selvedge fly, and the peekaboo selvedge on the coin pocket.</span></p>
<p><span>The Weird Guy is a regular tapered fit; medium rise, standard thigh and slight taper from the knee to hem.</span><span></span></p>
<ul class=""labelcard labelcard--bold""><li class=""lc-head""><div class=""lc-title"">MIJ15 - Hand Dyed Natural Indigo Kakishibu Intangible Cultural Treasure Selvedge Denim</div></li><li class=""lc-row""><span class=""lc-line""><span class=""lc-k"">STYLE / FIT</span> — <span class=""lc-v"">Weird Guy</span></span></li>
<li class=""lc-row""><span class=""lc-line"">15oz Japanese Selvedge Denim</span></li>
<li class=""lc-row""><span class=""lc-line"">100% Cotton</span></li>
<li class=""lc-row""><span class=""lc-line"">Button Fly</span></li>
<li class=""lc-row""><span class=""lc-line"">Rinse-washed, Tempi-treated</span></li>
<li class=""lc-row""><span class=""lc-line"">Made in Japan</span></li>
<li class=""lc-row""><span class=""lc-line""><span class=""lc-k"">SKU</span> — <span class=""lc-v"">101133903</span></span></li>
</ul>
</div>","","","","15","15oz Japanese Selvedge Denim","100% Cotton","Made in Japan","This limited-edition release is part of our Made in Japan series, where we take the most traditional techniques, use the best materials we can get our hands on, and build everything with old-school construction. The MIJ15 is a 15oz selvedge denim, and the yarns are dyed using two ancient natural dyes—indigo and kakishibu.The warp is dyed in Tokushima, on Shikoku Island, using a process that’s been around for hundreds of years. It’s such an important part of Japanese culture that it’s officially recognized as an Intangible Cultural Treasure. The yarns are bundled into hanks, dipped into natural indigo dye vats that are literally buried in the ground, then pulled out and oxidized in the open air. But because the yarn is bundled, some parts are exposed more than others. So what you get is uneven oxidation across the yarn—some parts darker, some lighter—and that creates a really rich, varied range of indigo shades across the fabric. This only happens with natural dye, and only when it’s done by hand.The weft is dyed with kakishibu, which is made from fermented persimmon. This dye’s been used in Japan for over a thousand years, and it gives the yarn a kind of burnt orange or brown tone that comes through the surface of the denim. The mix of that color underneath the indigo, plus the texture from the slubby yarns, gives this fabric so much dimension. It almost looks like it’s glowing in certain lighting.The patch is real Shell Cordovan—dense horsehide that ages beautifully. And all the MIJ details are here: 100% iron buttons, copper rivets, raised belt loops, hidden back pocket rivets, selvedge fly, and the peekaboo selvedge on the coin pocket.The Weird Guy is a regular tapered fit; medium rise, standard thigh and slight taper from the knee to hem.","Made in Japan","yes","2026-03-01T23:18:53.986147"
"easy_guy_chinese_new_year_year_of_the_horse_raw","HOR003906","Easy Guy - Chinese New Year - Year Of The Horse","easy_guy","chinese_new_year_year_of_the_horse","raw","mens","","","regular","253.00","","https://nakedandfamousdenim.com/products/easy-guy-chinese-new-year-year-of-the-horse","<div class=""ndf-description"">
<div data-olk-copy-source=""MessageBody"">The Chinese New Year Selvedge is a 12.5oz Japanese selvedge denim created as part of an ongoing series honoring the Chinese Zodiac. The SS26 edition celebrates the Year of the Horse with artwork by Montreal-based comic book artist Andy Belanger.</div>
<div><br/></div>
<div>Woven using short slub yarns, the texture remains subtle at first, becoming more visible as the denim fades and vertical patterns emerge. The fabric is comfortable from the start, requiring minimal break-in.</div>
<div><br/></div>
<div>A festive gold-red-gold selvedge edge, red pocket bags symbolizing good fortune, and a natural vegetable-tanned leather patch with gold foil artwork complete the design, blending cultural symbolism with denim tradition.</div>
<div><br/></div>
<div>The Easy Guy is a relaxed tapered fit; regular rise, fuller in the seat and thigh with a sharp taper from knee to hem.</div>
<ul class=""labelcard labelcard--bold""><li class=""lc-head""><div class=""lc-title"">Chinese New Year - Year Of The Horse</div></li><li class=""lc-row""><span class=""lc-line""><span class=""lc-k"">STYLE / FIT</span> — <span class=""lc-v"">Easy Guy</span></span></li>
<li class=""lc-row""><span class=""lc-line"">12.5oz Japanese Selvedge Denim</span></li>
<li class=""lc-row""><span class=""lc-line"">100% Cotton</span></li>
<li class=""lc-row""><span class=""lc-line"">Indigo</span></li>
<li class=""lc-row""><span class=""lc-line"">Gold-red-gold selvedge edge</span></li>
<li class=""lc-row""><span class=""lc-line"">Natural vegetable-tanned leather patch with gold foil artwork by Andy Belanger</span></li>
<li class=""lc-row""><span class=""lc-line"">Made in Canada</span></li>
</ul>
</div>","","","","12.5","12.5oz Japanese Selvedge Denim","100% Cotton","Made in Canada","The Chinese New Year Selvedge is a 12.5oz Japanese selvedge denim created as part of an ongoing series honoring the Chinese Zodiac. The SS26 edition celebrates the Year of the Horse with artwork by Montreal-based comic book artist Andy Belanger.Woven using short slub yarns, the texture remains subtle at first, becoming more visible as the denim fades and vertical patterns emerge. The fabric is comfortable from the start, requiring minimal break-in.A festive gold-red-gold selvedge edge, red pocket bags symbolizing good fortune, and a natural vegetable-tanned leather patch with gold foil artwork complete the design, blending cultural symbolism with denim tradition.The Easy Guy is a relaxed tapered fit; regular rise, fuller in the seat and thigh with a sharp taper from knee to hem.","All Mens; Latest Arrivals; Spring/Summer 26","yes","2026-03-01T23:29:07.091946"
