"product_id","sku","product_name","fit_id","fabric_id","wash_state","gender","default_inseam_label","colorway","status","regular_price","sales_price","nudie_product_url","description_html","release_season","run_code","notes","denim_weight_oz","denim_cat","material","made_in","product_description","collections","is_jeans","scraped_at"
"gritty_jackson_dry_sunburns","","Gritty Jackson Dry Sunburns","gritty_jackson","dry_sunburns","dry","mens","","indigo, pale","regular","280.0","","https://www.nudiejeans.com/en-CA/product/gritty-jackson-dry-sunburns","<div class=""ProductDetailsDialog_description__2n4hF"">The Gritty Jackson Dry Sunburns stands out with its gradient back pocket embroidery, shifting from deep orange to pale yellow, with our own Nudie Jeans Orange at the center. Paired with a special graphic Jacron patch, it subtly plays with our identity and iconography.<br/><br/>Beneath it all lies a proprietary 14.2 oz denim, developed exclusively for Nudie Jeans. Woven with Regenerative Organic Cotton, it revives the raw, textured character of a pair of ‘90s jeans we once stumbled upon. Though undeniably ""modern,"" these jeans are rooted in a transitional era—a time when vintage ring-spun textures resurfaced, and select denim mills strayed from pure efficiency in pursuit of true vintage aesthetics. A defining moment—just before Nudie Jeans was born.<br/><br/>The medium-deep pure indigo warp lays the foundation for a break-in journey with options—left raw, it builds stark contrasts; washed early, it fades with a slow, balanced grace. Stiff and substantial, it forms deep creases and sharp wear marks, evolving over time as the warp streakiness fully emerges. The result? A layered interplay of slub, clean twill lines, and subtle marbling—a denim built to become tomorrow’s vintage.<br/><br/>Regenerative organic cotton meets all the standards of organic cotton, avoiding synthetic chemicals and GMOs, but goes further by restoring ecosystems, improving soil health, and boosting biodiversity. It considers the whole system – land, water, people, and long-term resilience.</div>","","","","14.2","14.2 oz. rigid denim","100% Cotton","Made in Italy","The Gritty Jackson Dry Sunburns stands out with its gradient back pocket embroidery, shifting from deep orange to pale yellow, with our own Nudie Jeans Orange at the center. Paired with a special graphic Jacron patch, it subtly plays with our identity and iconography. Beneath it all lies a proprietary 14.2 oz denim, developed exclusively for Nudie Jeans. Woven with Regenerative Organic Cotton, it revives the raw, textured character of a pair of ‘90s jeans we once stumbled upon. Though undeniably ""modern,"" these jeans are rooted in a transitional era—a time when vintage ring-spun textures resurfaced, and select denim mills strayed from pure efficiency in pursuit of true vintage aesthetics. A defining moment—just before Nudie Jeans was born. The medium-deep pure indigo warp lays the foundation for a break-in journey with options—left raw, it builds stark contrasts; washed early, it fades with a slow, balanced grace. Stiff and substantial, it forms deep creases and sharp wear marks, evolving over time as the warp streakiness fully emerges. The result? A layered interplay of slub, clean twill lines, and subtle marbling—a denim built to become tomorrow’s vintage. Regenerative organic cotton meets all the standards of organic cotton, avoiding synthetic chemicals and GMOs, but goes further by restoring ecosystems, improving soil health, and boosting biodiversity. It considers the whole system – land, water, people, and long-term resilience.","","yes","2026-03-03T22:56:02.359528"
"tuff_tony_lab_35","","Tuff Tony LAB 35","tuff_tony","lab_35","","mens","","indigo","regular","450.0","","https://www.nudiejeans.com/en-CA/product/tuff-tony-lab-35","<div class=""ProductDetailsDialog_description__2n4hF"">Nudie Jeans Selvage LAB is a special collection of limited-edition jeans. Limited to 107 pieces, the Tuff Tony LAB 35 is a denim masterpiece made from premium Italian selvedge denim, woven by Europe’s most esteemed denim mill, Candiani. This exclusive pair is the result of both masterful denim craftsmanship and an intensive, artisanal laundry process led by a specialist team in our denim lab. Every detail - from yarns to finished jeans - has been shaped by highly skilled hands through a time-consuming process that brings out a truly authentic, worn-in character.<br/><br/>At the heart of this creation is a Nudie Jeans legend — the very craftsman who, over a decade ago, gave us the iconic Stonemason Replica. His dedication and expertise not only defined that era but also earned him the role of laboratory manager. Now, as he approached retirement, he returned one final time to lead this project - rolling up his sleeves once more to lend his masterful touch.<br/><br/>Crafted from 16 oz. pure indigo selvedge denim with a rich ring-spun texture, these jeans showcase both weaving and washing at their finest. The irregular vertical slub and subtle crosshatch weave express a true vintage soul, while the deep indigo warp delivers vibrant highlights and extraordinary depth. Authentic wear marks, carefully placed repairs, and subtle tinting capture the unmistakable aged Nudie Jeans aesthetic.</div>","","","Members only","16","16 oz. rigid Italian selvedge denim from Candiani","100% Cotton","Made in Tunisia","Nudie Jeans Selvage LAB is a special collection of limited-edition jeans. Limited to 107 pieces, the Tuff Tony LAB 35 is a denim masterpiece made from premium Italian selvedge denim, woven by Europe’s most esteemed denim mill, Candiani. This exclusive pair is the result of both masterful denim craftsmanship and an intensive, artisanal laundry process led by a specialist team in our denim lab. Every detail - from yarns to finished jeans - has been shaped by highly skilled hands through a time-consuming process that brings out a truly authentic, worn-in character. At the heart of this creation is a Nudie Jeans legend — the very craftsman who, over a decade ago, gave us the iconic Stonemason Replica. His dedication and expertise not only defined that era but also earned him the role of laboratory manager. Now, as he approached retirement, he returned one final time to lead this project - rolling up his sleeves once more to lend his masterful touch. Crafted from 16 oz. pure indigo selvedge denim with a rich ring-spun texture, these jeans showcase both weaving and washing at their finest. The irregular vertical slub and subtle crosshatch weave express a true vintage soul, while the deep indigo warp delivers vibrant highlights and extraordinary depth. Authentic wear marks, carefully placed repairs, and subtle tinting capture the unmistakable aged Nudie Jeans aesthetic.","","yes","2026-03-03T23:06:32.227191"
"tuff_tony_dry_old","","Tuff Tony Dry Old","tuff_tony","dry_old","dry","mens","","black, indigo, blue, redcast","regular","250.0","","https://www.nudiejeans.com/en-CA/product/tuff-tony-dry-old","<div class=""ProductDetailsDialog_description__2n4hF"">Loose fit jeans with a straight leg made from a 14.15 oz. dry denim greatness that resembles an old, '50s style, denim. True to history it is constructed of ring-spun warp and weft yarns with irregular thickness, as was often the case back in the day on workwear fabrics. Also true to its heritage is the dark, but not blackish, indigo warp that is dyed in pure indigo.<br/><br/>With wear and wash, the yarns will interact, and you'll reap the rewards that heavier ring-spun denim produces — evident slubs, a pleasing crosshatch as well as a marbling -effect. It's the irregular yarns in both warp and weft that render the crosshatch effect, and the built-in tension formed by the yarns that produce the marble effect after washing. As this denim is dyed in pure indigo, it will age to a clean, blue redcast tone.<br/><br/>The greatest part of these jeans is not what they look like new, but rather the complete opposite - how they will look tomorrow, and the many days to come. Enjoy ageing, it is worth the trouble.</div>","","","","14.15","14.15 oz. rigid denim","100% Cotton","Made in Italy","Loose fit jeans with a straight leg made from a 14.15 oz. dry denim greatness that resembles an old, '50s style, denim. True to history it is constructed of ring-spun warp and weft yarns with irregular thickness, as was often the case back in the day on workwear fabrics. Also true to its heritage is the dark, but not blackish, indigo warp that is dyed in pure indigo. With wear and wash, the yarns will interact, and you'll reap the rewards that heavier ring-spun denim produces — evident slubs, a pleasing crosshatch as well as a marbling -effect. It's the irregular yarns in both warp and weft that render the crosshatch effect, and the built-in tension formed by the yarns that produce the marble effect after washing. As this denim is dyed in pure indigo, it will age to a clean, blue redcast tone. The greatest part of these jeans is not what they look like new, but rather the complete opposite - how they will look tomorrow, and the many days to come. Enjoy ageing, it is worth the trouble.","","yes","2026-03-03T23:17:02.807869"
"loud_larry_dry_deadstock_25","","Loud Larry Dry Deadstock 25","loud_larry","dry_deadstock_25","dry","mens","","indigo","regular","315.0","","https://www.nudiejeans.com/en-CA/product/loud-larry-dry-deadstock-25","<div class=""ProductDetailsDialog_description__2n4hF"">Loose-fit jeans with a high waist and wide leg.<br/><br/>This fabric was developed exclusively for Nudie Jeans back in 2022. Crafted and brought to life by the Japanese denim powerhouse Kurabo Denim. At 13.5 oz. This mid-weight denim hits a sweet spot between weight and robust feel. The fabric carries a hand that is more textured than smooth while still offering great comfort. While it's barely visible in the dry state, this denim features a green cast that'll show its full potential only when faded and broken in. The fabric composition features long slub, ring-spun yarns for both warp and weft, which creates an evident crosshatch texture.<br/><br/>A revival of a great fabric. Limited to 150 pieces.<br/><br/>Breaking in dry denim is a metamorphosis. The interplay between the garment and the user is a spectacular transformation happening slowly in front of your eyes. Over time, with wearing and washing, the indigo fades, exposing the fabric's texture, and eventually unveiling an intricate span of hues. This creates a unique, one-off version of the jeans.</div>","","","Members only; Limited; Deadstock","13.5","13.5 oz. rigid denim","100% Cotton","Made in Italy","Loose-fit jeans with a high waist and wide leg. This fabric was developed exclusively for Nudie Jeans back in 2022. Crafted and brought to life by the Japanese denim powerhouse Kurabo Denim. At 13.5 oz. This mid-weight denim hits a sweet spot between weight and robust feel. The fabric carries a hand that is more textured than smooth while still offering great comfort. While it's barely visible in the dry state, this denim features a green cast that'll show its full potential only when faded and broken in. The fabric composition features long slub, ring-spun yarns for both warp and weft, which creates an evident crosshatch texture. A revival of a great fabric. Limited to 150 pieces. Breaking in dry denim is a metamorphosis. The interplay between the garment and the user is a spectacular transformation happening slowly in front of your eyes. Over time, with wearing and washing, the indigo fades, exposing the fabric's texture, and eventually unveiling an intricate span of hues. This creates a unique, one-off version of the jeans.","","yes","2026-03-03T23:27:33.714693"
"lean_dean_blue_legend","","Lean Dean Blue Legend","lean_dean","blue_legend","fit jeans with a mid waist and tapered leg in a pale light blue wash","mens","","blue, misty, pale","regular","250.0","","https://www.nudiejeans.com/en-CA/product/lean-dean-blue-legend","<div class=""ProductDetailsDialog_description__2n4hF"">Slim-fit jeans with a mid waist and tapered leg in a pale light blue wash featuring bright highlights and dark blue depth. Contrasting wearmarks add character and amplify the denim's texture. The finish showcases vertical streaks at abraded areas and a crosshatch texture where unabraded, creating a marvelous blend of softness and contrast in a misty blue color.</div>","","","","12","12 oz. stretch denim","99% Cotton 1% Elastane","Made in Tunisia","Slim-fit jeans with a mid waist and tapered leg in a pale light blue wash featuring bright highlights and dark blue depth. Contrasting wearmarks add character and amplify the denim's texture. The finish showcases vertical streaks at abraded areas and a crosshatch texture where unabraded, creating a marvelous blend of softness and contrast in a misty blue color.","","yes","2026-03-03T23:38:04.746892"
"steady_eddie_ii_black_change","","Steady Eddie II Black Change","steady_eddie_ii","black_change","","mens","","black, grey","regular","250.0","","https://www.nudiejeans.com/en-CA/product/steady-eddie-ii-black-change","<div class=""ProductDetailsDialog_description__2n4hF"">Regular fit jeans with a tapered leg made in organic denim. These jeans have been gently washed, which has preserved much of the color while it has rendered subtle and beautiful shade differences at the seams. The soft abrasions and wear marks have added mid-grey highlights and revealed the structure of the denim. In all its simplicity these dark grey jeans have something marvelously beautiful to them.</div>","","","Members only","12.5","12.5 oz. rigid denim","100% Cotton","Made in Tunisia","Regular fit jeans with a tapered leg made in organic denim. These jeans have been gently washed, which has preserved much of the color while it has rendered subtle and beautiful shade differences at the seams. The soft abrasions and wear marks have added mid-grey highlights and revealed the structure of the denim. In all its simplicity these dark grey jeans have something marvelously beautiful to them.","","yes","2026-03-03T23:48:35.363585"
"steady_eddie_ii_muted_tracks","","Steady Eddie II Muted Tracks","steady_eddie_ii","muted_tracks","","mens","","blue, greenish","regular","280.0","","https://www.nudiejeans.com/en-CA/product/steady-eddie-ii-muted-tracks","<div class=""ProductDetailsDialog_description__2n4hF"">Steady Eddie II Muted Tracks faithfully replicate the fades and wear marks of an original pair of worn-in Nudie Jeans. Using a precise method, every detail of the original has been captured and recreated on a new pair of jeans.<br/><br/>Crafted from broken twill denim, these jeans are washed to a muted mid-blue tone with a slight greenish cast with warmly tinted, sharply contrasting wear marks. The fabric has a beautiful coarseness with pronounced vertical streakiness and a textured hand. The recreated fades and wear marks deliver an undeniably authentic worn-in aesthetic.<br/><br/>These Steady Eddie IIs—our regular-fit jeans with a mid waist and tapered leg—belong to the Life Tracks range: jeans based on a true story.</div>","","","","13.75","13.75 oz. Rigid denim","100% Cotton","Made in Italy","Steady Eddie II Muted Tracks faithfully replicate the fades and wear marks of an original pair of worn-in Nudie Jeans. Using a precise method, every detail of the original has been captured and recreated on a new pair of jeans. Crafted from broken twill denim, these jeans are washed to a muted mid-blue tone with a slight greenish cast with warmly tinted, sharply contrasting wear marks. The fabric has a beautiful coarseness with pronounced vertical streakiness and a textured hand. The recreated fades and wear marks deliver an undeniably authentic worn-in aesthetic. These Steady Eddie IIs—our regular-fit jeans with a mid waist and tapered leg—belong to the Life Tracks range: jeans based on a true story.","","yes","2026-03-03T23:59:05.754373"
"grim_tim_dry_everblack","","Grim Tim Dry Everblack","grim_tim","dry_everblack","dry","mens","","black","regular","250.0","","https://www.nudiejeans.com/en-CA/product/grim-tim-dry-everblack","<div class=""ProductDetailsDialog_description__2n4hF"">Pitch black jeans made in dry comfort stretch denim that stays black. Our Everblack fabric is made to maintain its color for as long as possible, withstanding 40, or more washes without any significant loss of color. If you are looking for a pair of pitch-black jeans that do not fade this is the way to go.<br/><br/>Keen on knowing what differentiates Everblack from other black denim? <br/>Normally, when denim is dyed part of the dye will absorb in the cotton fibers while the rest remains bound only to the surface of the yarns. This is what gives denim its aging property that in many cases is sought after. However, when it comes to black jeans this is not always the case which is why we developed the Everblack denim. The technical difference between Everblack and regular black denim is that it utilizes a method and type of dyestuff that allows improved absorption as well as a stronger fixation. This results in denim with a significantly greater colorfastness, which does not fade with wearing and washing.</div>","","","","12","12 oz comfort stretch denim","99% Cotton 1% Elastane","Made in Tunisia","Pitch black jeans made in dry comfort stretch denim that stays black. Our Everblack fabric is made to maintain its color for as long as possible, withstanding 40, or more washes without any significant loss of color. If you are looking for a pair of pitch-black jeans that do not fade this is the way to go. Keen on knowing what differentiates Everblack from other black denim? Normally, when denim is dyed part of the dye will absorb in the cotton fibers while the rest remains bound only to the surface of the yarns. This is what gives denim its aging property that in many cases is sought after. However, when it comes to black jeans this is not always the case which is why we developed the Everblack denim. The technical difference between Everblack and regular black denim is that it utilizes a method and type of dyestuff that allows improved absorption as well as a stronger fixation. This results in denim with a significantly greater colorfastness, which does not fade with wearing and washing.","","yes","2026-03-04T00:28:23.582349"
"slim_jim_dry_streaky","","Slim Jim Dry Streaky","slim_jim","dry_streaky","dry","mens","","","regular","220.0","","https://www.nudiejeans.com/en-CA/product/slim-jim-dry-streaky","<div class=""ProductDetailsDialog_description__2n4hF"">The Slim Jim, Nudie Jeans' classic slim-fit style with its signature twin-needle outer seam, is back. The Dry Streaky is crafted from exceptional streaky denim featuring pronounced vertical slubs of varying lengths. As the denim ages with wear, its striking texture becomes more pronounced; initially, the vertical slubbiness stands out, and over time, with washing, a subtle crosshatch texture emerges, creating a rich and dynamic textural journey.<br/><br/>The greatest part of these jeans is not what they look like new, but rather the complete opposite - how they will look tomorrow, and the many days to come. Enjoy aging, it is worth the trouble.</div>","","","Members only","13.7","13.7 oz. rigid denim","100% Cotton","Made in Italy","The Slim Jim, Nudie Jeans' classic slim-fit style with its signature twin-needle outer seam, is back. The Dry Streaky is crafted from exceptional streaky denim featuring pronounced vertical slubs of varying lengths. As the denim ages with wear, its striking texture becomes more pronounced; initially, the vertical slubbiness stands out, and over time, with washing, a subtle crosshatch texture emerges, creating a rich and dynamic textural journey. The greatest part of these jeans is not what they look like new, but rather the complete opposite - how they will look tomorrow, and the many days to come. Enjoy aging, it is worth the trouble.","","yes","2026-03-04T00:38:53.515528"
"solid_ollie_salt_water","","Solid Ollie Salt Water","solid_ollie","salt_water","fit jeans with a mid waist and straight leg in a bright blue wash","mens","","blue, white","regular","250.0","","https://www.nudiejeans.com/en-CA/product/solid-ollie-salt-water","<div class=""ProductDetailsDialog_description__2n4hF"">Slim-fit jeans with a mid waist and straight leg in a bright blue wash with near-white, warmly tinted highlights. Bold abrasions and sharp wear marks add depth and character in a refined yet authentic way. The denim’s slightly slubby texture stands out in the abraded areas, while the darker sections reveal clean twill lines and a subtle salt-and-pepper grain. A pleasing balance between softness and boldness.</div>","","","","11.25","11.25 oz. stretch denim","99% Cotton","Made in Tunisia","Slim-fit jeans with a mid waist and straight leg in a bright blue wash with near-white, warmly tinted highlights. Bold abrasions and sharp wear marks add depth and character in a refined yet authentic way. The denim’s slightly slubby texture stands out in the abraded areas, while the darker sections reveal clean twill lines and a subtle salt-and-pepper grain. A pleasing balance between softness and boldness.","","yes","2026-03-04T00:49:23.588862"
