"product_id","product_name","fit_id","fabric_id","wash_state","gender","default_inseam_label","colorway","status","nf_product_url","ty_product_url","description_html","release_season","run_code","notes","sku","denim_weight","denim_cat","made_in","product_description"
"groovy_guy_wax_coated_black_stretch_raw_groovy_guy_wax_coated_black_stretch","Groovy Guy - Wax Coated Black Stretch","groovy_guy","wax_coated_black_stretch","raw","mens","","black","regular","","https://tateandyoko.com/collections/jeans/products/groovy-guy-wax-coated-black-stretch","","","","","101055903","12oz","12oz Japanese Denim","Made in Canada","The Wax Coated Black Stretch is a 12oz black Japanese power stretch denim, woven in a right hand twill construction. The denim is dyed black on both the warp and weft for a solid black color tone. A paraffin wax coating is then applied to give the fabric a leather like shine. The dye is resistant to fading to ensure the jeans stay blacker longer. The denim is made with 2% stretch for increased comfort, and has an incredible stretch recovery performance allowing the jeans to snap back to shape wear after wear. Other details include tonal stitching, full grain black leather patch, black metal waist button and rivets.The Groovy Guy is a bootcut fit; high rise, standard thigh and wide leg opening from the knee to hem.12oz Japanese Denim98% Cotton / 2% PolyurethaneMade in CanadaSKU: 101055903"
"strong_guy_wax_coated_black_stretch_raw_strong_guy_wax_coated_black_stretch","Strong Guy - Wax Coated Black Stretch","strong_guy","wax_coated_black_stretch","raw","mens","","black","regular","","https://tateandyoko.com/collections/jeans/products/strong-guy-wax-coated-black-stretch","","","","","101055916","12oz","12oz Japanese Denim","Made in Canada","The Wax Coated Black Stretch is a 12oz black Japanese power stretch denim, woven in a right hand twill construction. The denim is dyed black on both the warp and weft for a solid black color tone. A paraffin wax coating is then applied to give the fabric a leather like shine. The dye is resistant to fading to ensure the jeans stay blacker longer. The denim is made with 2% stretch for increased comfort, and has an incredible stretch recovery performance allowing the jeans to snap back to shape wear after wear. Other details include tonal stitching, full grain black leather patch, black metal waist button and rivets.The Strong Guy is a relaxed straight fit; high rise, fuller in the seat and thigh that falls to a wide leg opening.12oz Japanese Denim98% Cotton / 2% PolyurethaneMade in CanadaSKU: 101055916"
"strong_guy_solid_black_selvedge_raw_strong_guy_solid_black_selvedge","Strong Guy - Solid Black Selvedge","strong_guy","solid_black_selvedge","raw","mens","","black","regular","","https://tateandyoko.com/collections/jeans/products/strong-guy-solid-black-selvedge","","","","","101061616","13oz","13oz Japanese Selvedge Denim","Made in Canada","The Solid Black Selvedge is a 13oz black Japanese selvedge denim. Both the warp and weft are sulfur-dyed black to create a pitch-black denim. The denim is woven on vintage shuttle looms in a right hand twill construction with a classic red line selvedge ID. Cut, sewn, built in Canada with black stitching, a full-grain black leather patch, and black metal buttons and rivets.  The Strong Guy is a relaxed straight fit; high rise, fuller in the seat and thigh that falls to a wide leg opening.13oz Japanese Selvedge Denim100% CottonMade in CanadaSKU: 101061616"
"strong_guy_natural_indigo_selvedge_raw_strong_guy_natural_indigo_selvedge","Strong Guy - Natural Indigo Selvedge","strong_guy","natural_indigo_selvedge","raw","mens","","indigo","regular","","https://tateandyoko.com/collections/jeans/products/strong-guy-natural-indigo-selvedge","","","","","101050116","12.5oz","12.5oz Japanese Selvedge Denim","Made in Canada","The Natural Indigo Selvedge is a 12.5oz indigo rope dyed Japanese selvedge denim, woven on vintage shuttle looms in a right hand twill construction. Natural indigo dye derived from fermenting the indigofera plant is used to create the mid blue color tone of these jeans. Other details include contrast stitching, full grain English tan leather patch, blue selvedge ID, dark copper buttons and rivets.The Strong Guy is a relaxed straight fit; high rise, fuller in the seat and thigh that falls to a wide leg opening.12.5oz Japanese Selvedge Denim100% CottonMade in CanadaSKU: 101050116"
"weird_guy_deep_sea_selvedge_raw_weird_guy_deep_sea_selvedge","Weird Guy - Deep Sea Selvedge","weird_guy","deep_sea_selvedge","raw","mens","","indigo/indigo","on-sales","","https://tateandyoko.com/collections/jeans/products/weird-guy-deep-sea-selvedge","","window.","","","101124503","12.5oz","12.5oz Japanese Denim","Made in Canada","The Deep Sea Selvedge is a 12.5oz Japanese selvedge denim, enhanced with a one-wash treatment for improved texture and comfort, while retaining the best qualities of raw denim. This deep indigo x indigo denim has been fabric-rinsed, unlike typical garment washes that can leave jeans looking used. This method reduces fabric shrinkage before cutting and sewing, resulting in neater seams and less puckering in the final product. Although not as rigid as classic raw denim, the rinse wash simply removes starch without significantly altering the denim's fading characteristics. We've essentially pre-soaked the jeans for you. This denim is made from 100% cotton and features a traditional redline selvedge ID.  Each pair is proudly crafted in our Canadian factory and features contrast stitching, a button fly, custom black mill-spec non-reflective hardware and a pull-up navy leather patch.The Weird Guy is a standard tapered fit with a medium rise, a comfortable top block, and a taper from knee to hem.12.5oz Japanese Denim100% CottonButton FlyMade in CanadaSKU: 101124503"
"weird_guy_forever_blue_selvedge_raw_weird_guy_forever_blue_selvedge","Weird Guy - Forever Blue Selvedge","weird_guy","forever_blue_selvedge","raw","mens","","blue","on-sales","","https://tateandyoko.com/collections/jeans/products/weird-guy-forever-blue-selvedge","","window.","","","101124603","12.5oz","12.5oz Japanese Selvedge Denim","Made in Canada","The Forever Blue Selvedge is a 12.5oz Japanese Selvedge Denim, distinctively dyed with a permanent reactive dye to achieve a lasting dark indigo color. Unlike the typical fading denim which is rope-dyed, leaving the core of the exterior warp yarns white, the yarns in the Forever Blue Selvedge are dyed through to the core. This means that even with extensive wear, the fading will be significantly reduced, perfect for those who prefer to maintain the look of raw denim over time. Crafted from 100% cotton, this denim retains a classic, crisp raw denim feel. The jeans are finished with contrast stitching, a dark brown leather patch, a classic redline selvedge ID, and silver metallic buttons and rivets.The Weird Guy is a standard tapered fit with a medium rise, a comfortable top block, and a taper from knee to hem.12.5oz Japanese Selvedge Denim100% CottonButton FlyMade in CanadaSKU: 101124603"
"groovy_guy_natural_indigo_selvedge_raw_groovy_guy_natural_indigo_selvedge","Groovy Guy - Natural Indigo Selvedge","groovy_guy","natural_indigo_selvedge","raw","mens","","indigo","regular","","https://tateandyoko.com/collections/jeans/products/groovy-guy-natural-indigo-selvedge","","","","","101050135","12.5oz","12.5oz Japanese Selvedge Denim","Made in Canada","The Natural Indigo Selvedge is a 12.5oz indigo rope dyed Japanese selvedge denim, woven on vintage shuttle looms in a right hand twill construction. Natural indigo dye derived from fermenting the indigofera plant is used to create the mid blue color tone of these jeans. Other details include contrast stitching, full grain English tan leather patch, blue selvedge ID, dark copper buttons and rivets.The Groovy Guy is a bootcut fit; high rise, standard thigh and wide leg opening from the knee to hem.12.5oz Japanese Selvedge Denim100% CottonMade in CanadaSKU: 101050135"
"strong_guy_nightshade_stretch_selvedge_raw_strong_guy_nightshade_stretch_selvedge","Strong Guy - Nightshade Stretch Selvedge","strong_guy","nightshade_stretch_selvedge","raw","mens","","indigo/indigo","regular","","https://tateandyoko.com/collections/jeans/products/strong-guy-nightshade-stretch-selvedge","","","","","101098016","12oz","12oz Japanese Selvedge Denim","Made in Canada","The Nightshade Stretch Selvedge is a 12oz Japanese selvedge denim with 2% stretch for added comfort. The color of the denim is created with the addition of a black dye to the indigo, the combination creates a rich indigo tone that is nearly black. Other details include contrast stitching, brown leather patch, red selvedge ID, silver metallic buttons and rivets. The Strong Guy is a relaxed straight fit; high rise, fuller in the seat and thigh that falls to a wide leg opening.12oz Japanese Selvedge Denim98% Cotton  /  2% PUMade in CanadaSKU: 101098016"
"weird_guy_solid_black_selvedge_raw_naked_famous_weird_guy_solid_black_selvedge","Weird Guy  -  Solid Black Selvedge","weird_guy","solid_black_selvedge","raw","mens","","black","regular","","https://tateandyoko.com/collections/jeans/products/naked-famous-weird-guy-solid-black-selvedge","","","","","016163","13oz","13oz Japanese Selvedge Denim","Made in Canada","The Solid Black Selvedge is a 13oz black Japanese selvedge denim. Both the warp and weft are sulfur-dyed black to create a pitch-black denim. The denim is woven on vintage shuttle looms in a right hand twill construction with a classic red line selvedge ID. Cut, sewn, built in Canada with black stitching, a full-grain black leather patch, and black metal buttons and rivets. The Weird Guy is a regular tapered fit; medium rise, standard thigh and slight taper from the knee to hem.13oz Japanese Selvedge Denim100% CottonMade in CanadaSKU: 016163"
"weird_guy_love_and_peace_selvedge_raw_weird_guy_love_peace_selvedge","Weird Guy - Love   &   Peace   Selvedge","weird_guy","love_and_peace_selvedge","raw","mens","","indigo/indigo","regular","","https://tateandyoko.com/collections/jeans/products/weird-guy-love-peace-selvedge","","window.","","","101127903","12.5oz","12.5oz Japanese Selvedge Denim","Made in Canada","The Love & Peace Selvedge is a 12.5oz Japanese selvedge denim that follows our playful Vulgar Selvedge, known for its bold selvedge ID with naughty words. This iteration champions a positive vibe, featuring 'Love"" & ""Peace"" woven directly into the selvedge ID. It’s our way of saying, ""Flip the cuff and spread some love."" The fabric presents a crispy and rigid raw denim feel, crafted using short slub yarn. While not overly textured, the short slubs gradually reveal themselves as the denim fades, emphasizing distinct vertical fade patterns. The natural veg-tanned leather patch and pocket flasher are creations of Matt Verdier, a talented artist renowned for his psychedelic retro style artwork. Over time, the leather patch will develop a rich patina, evolving alongside the denim to become even more beautiful with age. Proudly crafted in our Canadian factory, these jeans feature contrast stitching, button fly, and silver metallic hardware.The Weird Guy is a standard tapered fit with a medium rise, a comfortable top block, and a taper from knee to hem.12.5oz Japanese Selvedge Denim100% CottonButton FlyMade in CanadaSKU:101127903"
